"id","firstName","secondName","lastName","firstLastName","club","districtNum","districtName","voivodeship","email","active"
388,"Ryszard","Iwon","Terlecki","Ryszard Terlecki","PiS",14,"Nowy Sącz","małopolskie","Ryszard.Terlecki@sejm.pl",true
389,"Tadeusz",,"Tomaszewski","Tadeusz Tomaszewski","Lewica",37,"Konin","wielkopolskie","Tadeusz.Tomaszewski@sejm.pl",true
390,"Jacek","Jerzy","Tomczak","Jacek Tomczak","PSL-TD",39,"Poznań","wielkopolskie","Jacek.Tomczak@sejm.pl",true
391,"Wioleta","Barbara","Tomczak","Wioleta Tomczak","Polska2050-TD",26,"Słupsk","pomorskie","Wioleta.Tomczak@sejm.pl",true
392,"Cezary","Józef","Tomczyk","Cezary Tomczyk","KO",11,"Sieradz","łódzkie","Cezary.Tomczyk@sejm.pl",true
393,"Stanisław",,"Tomczyszyn","Stanisław Tomczyszyn","PSL-TD",8,"Zielona Góra","lubuskie","Stanislaw.Tomczyszyn@sejm.pl",true
394,"Małgorzata","Elżbieta","Tracz","Małgorzata Tracz","KO",3,"Wrocław","dolnośląskie","Malgorzata.Tracz@sejm.pl",true
395,"Tomasz","Dominik","Trela","Tomasz Trela","Lewica",9,"Łódź","łódzkie","Tomasz.Trela@sejm.pl",true
396,"Krzysztof",,"Truskolaski","Krzysztof Truskolaski","KO",24,"Białystok","podlaskie","Krzysztof.Truskolaski@sejm.pl",true
397,"Krzysztof",,"Tuduj","Krzysztof Tuduj","Konfederacja",3,"Wrocław","dolnośląskie","Krzysztof.Tuduj@sejm.pl",true
398,"Sylwester","Karol","Tułajew","Sylwester Tułajew","PiS",6,"Lublin","lubelskie","Sylwester.Tulajew@sejm.pl",true
399,"Witold","Sławomir","Tumanowicz","Witold Tumanowicz","Konfederacja",7,"Chełm","lubelskie","Witold.Tumanowicz@sejm.pl",true
400,"Donald","Franciszek","Tusk","Donald Tusk","KO",19,"Warszawa","mazowieckie","Donald.Tusk@sejm.pl",true
401,"Stanisław",,"Tyszka","Stanisław Tyszka","Konfederacja",26,"Słupsk","pomorskie","Stanislaw.Tyszka@sejm.pl",false
402,"Katarzyna",,"Ueberhan","Katarzyna Ueberhan","Lewica",39,"Poznań","wielkopolskie","Katarzyna.Ueberhan@sejm.pl",true
403,"Jarosław","Piotr","Urbaniak","Jarosław Urbaniak","KO",36,"Kalisz","wielkopolskie","Jaroslaw.Urbaniak@sejm.pl",true
404,"Piotr","Marcin","Uruski","Piotr Uruski","PiS",22,"Krosno","podkarpackie","Piotr.Uruski@sejm.pl",true
405,"Piotr",,"Uściński","Piotr Uściński","PiS",20,"Warszawa","mazowieckie","Piotr.Uscinski@sejm.pl",true
406,"Jarosław","Leszek","Wałęsa","Jarosław Wałęsa","KO",25,"Gdańsk","pomorskie","Jaroslaw.Walesa@sejm.pl",true
407,"Marcin","Józef","Warchoł","Marcin Warchoł","PiS",23,"Rzeszów","podkarpackie","Marcin.Warchol@sejm.pl",true
408,"Robert","Marian","Wardzała","Robert Wardzała","KO",15,"Tarnów","małopolskie","Robert.Wardzala@sejm.pl",true
409,"Robert","Piotr","Warwas","Robert Warwas","PiS",32,"Katowice","śląskie","Robert.Warwas@sejm.pl",true
410,"Jan","Marek","Warzecha","Jan Warzecha","PiS",23,"Rzeszów","podkarpackie","Jan.Warzecha@sejm.pl",true
411,"Małgorzata","Ewa","Wassermann","Małgorzata Wassermann","PiS",13,"Kraków","małopolskie","Malgorzata.Wassermann@sejm.pl",true
412,"Michał","Jan","Wawer","Michał Wawer","Konfederacja",33,"Kielce","świętokrzyskie","Michal.Wawer@sejm.pl",true
413,"Maciej",,"Wąsik","Maciej Wąsik","PiS",16,"Płock","mazowieckie","Maciej.Wasik@sejm.pl",false
414,"Marta","Anna","Wcisło","Marta Wcisło","KO",6,"Lublin","lubelskie","Marta.Wcislo@sejm.pl",false
415,"Rafał",,"Weber","Rafał Weber","PiS",23,"Rzeszów","podkarpackie","Rafal.Weber@sejm.pl",true
416,"Marek","Jacek","Wesoły","Marek Wesoły","PiS",31,"Katowice","śląskie","Marek.Wesoly@sejm.pl",true
417,"Joanna","Beata","Wicha","Joanna Wicha","Lewica",20,"Warszawa","mazowieckie","Joanna.Wicha@sejm.pl",true
418,"Patryk","Tomasz","Wicher","Patryk Wicher","PiS",14,"Nowy Sącz","małopolskie","Patryk.Wicher@sejm.pl",true
419,"Dariusz","Krzysztof","Wieczorek","Dariusz Wieczorek","Lewica",41,"Szczecin","zachodniopomorskie","Dariusz.Wieczorek@sejm.pl",true
420,"Jarosław","Wiesław","Wieczorek","Jarosław Wiesław Wieczorek","PiS",29,"Katowice","śląskie","Jaroslaw.Wieczorek@sejm.pl",true
421,"Monika",,"Wielichowska","Monika Wielichowska","KO",2,"Wałbrzych","dolnośląskie","Monika.Wielichowska@sejm.pl",true
422,"Ryszard","Jakub","Wilk","Ryszard Wilk","Konfederacja",14,"Nowy Sącz","małopolskie","Ryszard.Wilk@sejm.pl",true
423,"Teresa",,"Wilk","Teresa Wilk","PiS",34,"Elbląg","warmińsko-mazurskie","Teresa.Wilk@sejm.pl",true
424,"Przemysław","Janusz","Wipler","Przemysław Wipler","Konfederacja",5,"Toruń","kujawsko-pomorskie","Przemyslaw.Wipler@sejm.pl",true
425,"Aleksandra","Karolina","Uznańska-Wiśniewska","Aleksandra Karolina Uznańska-Wiśniewska","KO",9,"Łódź","łódzkie","Aleksandra.Uznanska-Wisniewska@sejm.pl",true
426,"Adrian",,"Witczak","Adrian Witczak","KO",10,"Piotrków Trybunalski","łódzkie","Adrian.Witczak@sejm.pl",true
427,"Mariusz","Sebastian","Witczak","Mariusz Witczak","KO",36,"Kalisz","wielkopolskie","Mariusz.Witczak@sejm.pl",true
428,"Elżbieta","Barbara","Witek","Elżbieta Witek","PiS",1,"Legnica","dolnośląskie","Elzbieta.Witek@sejm.pl",true
429,"Przemysław","Jarosław","Witek","Przemysław Witek","KO",28,"Częstochowa","śląskie","Przemyslaw.Witek@sejm.pl",true
430,"Kamil","Wiesław","Wnuk","Kamil Wnuk","Polska2050-TD",32,"Katowice","śląskie","Kamil.Wnuk@sejm.pl",true
431,"Anna",,"Wojciechowska","Anna Wojciechowska","KO",35,"Olsztyn","warmińsko-mazurskie","Anna.Wojciechowska@sejm.pl",true
432,"Agnieszka","Krystyna","Wojciechowska van Heukelom","Agnieszka Wojciechowska van Heukelom","PiS",9,"Łódź","łódzkie","Agnieszka.WojciechowskavanHeukelom@sejm.pl",true
433,"Agata","Katarzyna","Wojtyszek","Agata Wojtyszek","PiS",33,"Kielce","świętokrzyskie","Agata.Wojtyszek@sejm.pl",true
434,"Bogusław",,"Wołoszański","Bogusław Wołoszański","KO",10,"Piotrków Trybunalski","łódzkie","Boguslaw.Woloszanski@sejm.pl",true
435,"Michał","Piotr","Woś","Michał Woś","PiS",30,"Bielsko-Biała","śląskie","Michal.Wos@sejm.pl",true
436,"Grzegorz","Adam","Woźniak","Grzegorz Woźniak","PiS",18,"Siedlce","mazowieckie","Grzegorz.Wozniak@sejm.pl",true
437,"Tadeusz","Jacek","Woźniak","Tadeusz Woźniak","PiS",11,"Sieradz","łódzkie","Tadeusz.Wozniak@sejm.pl",true
438,"Michał","Marek","Wójcik","Michał Wójcik","PiS",31,"Katowice","śląskie","Michal.Wojcik@sejm.pl",true
439,"Maciej","Stanisław","Wróbel","Maciej Wróbel","KO",35,"Olsztyn","warmińsko-mazurskie","Maciej.Wrobel@sejm.pl",true
440,"Bartłomiej","Piotr","Wróblewski","Bartłomiej Wróblewski","PiS",39,"Poznań","wielkopolskie","Bartlomiej.Wroblewski@sejm.pl",true
441,"Paweł","Ksawery","Zalewski","Paweł Zalewski","Polska2050-TD",20,"Warszawa","mazowieckie","Pawel.Zalewski@sejm.pl",true
442,"Adrian","Tadeusz","Zandberg","Adrian Zandberg","Razem",19,"Warszawa","mazowieckie","Adrian.Zandberg@sejm.pl",true
443,"Andrzej","Tomasz","Zapałowski","Andrzej Tomasz Zapałowski","Konfederacja",22,"Krosno","podkarpackie","Andrzej.Zapalowski@sejm.pl",true
444,"Bartosz","Józef","Zawieja","Bartosz Zawieja","KO",39,"Poznań","wielkopolskie","Bartosz.Zawieja@sejm.pl",true
445,"Marcelina","Monika","Zawisza","Marcelina Zawisza","Razem",21,"Opole","opolskie","Marcelina.Zawisza@sejm.pl",true
446,"Sławomir",,"Zawiślak","Sławomir Zawiślak","Konfederacja_KP",7,"Chełm","lubelskie","Slawomir.Zawislak@sejm.pl",true
447,"Bogdan","Andrzej","Zdrojewski","Bogdan Andrzej Zdrojewski","KO",3,"Wrocław","dolnośląskie","Bogdan.Zdrojewski@sejm.pl",false
448,"Witold","Maciej","Zembaczyński","Witold Zembaczyński","KO",21,"Opole","opolskie","Witold.Zembaczynski@sejm.pl",true
449,"Piotr",,"Zgorzelski","Piotr Zgorzelski","PSL-TD",16,"Płock","mazowieckie","Piotr.Zgorzelski@sejm.pl",true
450,"Zbigniew",,"Ziejewski","Zbigniew Ziejewski","PSL-TD",34,"Elbląg","warmińsko-mazurskie","Zbigniew.Ziejewski@sejm.pl",true
451,"Urszula","Sara","Zielińska","Urszula Sara Zielińska","KO",19,"Warszawa","mazowieckie","Urszula.Zielinska@sejm.pl",true
452,"Jarosław",,"Zieliński","Jarosław Zieliński","PiS",24,"Białystok","podlaskie","Jaroslaw.Zielinski@sejm.pl",true
453,"Tomasz","Andrzej","Zieliński","Tomasz Zieliński","PiS",7,"Chełm","lubelskie","Tomasz.Zielinski@sejm.pl",true
454,"Jolanta",,"Zięba-Gzik","Jolanta Zięba-Gzik","PSL-TD",11,"Sieradz","łódzkie","Jolanta.Zieba-Gzik@sejm.pl",true
455,"Tomasz","Franciszek","Zimoch","Tomasz Zimoch","niez.",3,"Wrocław","dolnośląskie","Tomasz.Zimoch@sejm.pl",true
456,"Zbigniew","Tadeusz","Ziobro","Zbigniew Ziobro","PiS",23,"Rzeszów","podkarpackie","Zbigniew.Ziobro@sejm.pl",true
457,"Wojciech","Michał","Zubowski","Wojciech Michał Zubowski","PiS",1,"Legnica","dolnośląskie","Wojciech.Zubowski@sejm.pl",true
458,"Ireneusz",,"Zyska","Ireneusz Zyska","PiS",2,"Wałbrzych","dolnośląskie","Ireneusz.Zyska@sejm.pl",true
459,"Bożena","Jadwiga","Żelazowska","Bożena Żelazowska","PSL-TD",20,"Warszawa","mazowieckie","Bozena.Zelazowska@sejm.pl",true
460,"Anna","Maria","Żukowska","Anna Maria Żukowska","Lewica",19,"Warszawa","mazowieckie","Anna.Zukowska@sejm.pl",true
461,"Anna",,"Baluch","Anna Baluch","PiS",6,"Lublin","lubelskie","Anna.Baluch@sejm.pl",true
462,"Magdalena",,"Łośko","Magdalena Łośko","KO",4,"Bydgoszcz","kujawsko-pomorskie","Magdalena.Losko@sejm.pl",true
463,"Monika","Jolanta","Pawłowska","Monika Pawłowska","PiS",7,"Chełm","lubelskie","Monika.Pawlowska@sejm.pl",true
464,"Alicja",,"Łuczak","Alicja Łuczak","KO",36,"Kalisz","wielkopolskie","Alicja.Luczak@sejm.pl",true
465,"Dominik","Andrzej","Jaśkowiec","Dominik Jaśkowiec","KO",13,"Kraków","małopolskie","Dominik.Jaskowiec@sejm.pl",true
466,"Paweł","Jan","Masełko","Paweł Masełko","KO",21,"Opole","opolskie","Pawel.Maselko@sejm.pl",true
467,"Katarzyna","Karolina","Stachowicz","Katarzyna Stachowicz","KO",32,"Katowice","śląskie","Katarzyna.Stachowicz@sejm.pl",true
468,"Lidia",,"Czechak","Lidia Czechak","PiS",36,"Kalisz","wielkopolskie","Lidia.Czechak@sejm.pl",true
469,"Barbara","Anna","Grygorcewicz","Barbara Grygorcewicz","KO",40,"Koszalin","zachodniopomorskie","Barbara.Grygorcewicz@sejm.pl",true
470,"Bożenna","Urszula","Hołownia","Bożenna Hołownia","Polska2050-TD",19,"Warszawa","mazowieckie","Bozenna.Holownia@sejm.pl",true
471,"Urszula","Magdalena","Koszutska","Urszula Koszutska","KO",31,"Katowice","śląskie","Urszula.Koszutska@sejm.pl",true
472,"Piotr",,"Kowal","Piotr Kowal","Lewica",5,"Toruń","kujawsko-pomorskie","Piotr.Kowal@sejm.pl",true
473,"Michał","Bartosz","Kowalski","Michał Kowalski","PiS",26,"Słupsk","pomorskie","Michal.Kowalski@sejm.pl",true
474,"Maria","Joanna","Koźlakiewicz","Maria Joanna Koźlakiewicz","KO",16,"Płock","mazowieckie","Maria.Kozlakiewicz@sejm.pl",true
475,"Katarzyna",,"Królak","Katarzyna Królak","KO",34,"Elbląg","warmińsko-mazurskie","Katarzyna.Krolak@sejm.pl",true
476,"Wioletta","Maria","Kulpa","Wioletta Maria Kulpa","PiS",16,"Płock","mazowieckie","Wioletta.Kulpa@sejm.pl",true
477,"Grzegorz",,"Macko","Grzegorz Macko","PiS",2,"Wałbrzych","dolnośląskie","Grzegorz.Macko@sejm.pl",true
478,"Jerzy","Witold","Meysztowicz","Jerzy Meysztowicz","KO",13,"Kraków","małopolskie","Jerzy.Meysztowicz@sejm.pl",true
479,"Krzysztof",,"Mieszkowski","Krzysztof Mieszkowski","KO",3,"Wrocław","dolnośląskie","Krzysztof.Mieszkowski@sejm.pl",true
480,"Anna",,"Paluch","Anna Paluch","PiS",14,"Nowy Sącz","małopolskie","Anna.Paluch@sejm.pl",true
481,"Krzysztof","Mariusz","Piątkowski","Krzysztof Piątkowski","KO",9,"Łódź","łódzkie","Krzysztof.Piatkowski@sejm.pl",true
482,"Mariusz","Piotr","Popielarz","Mariusz Popielarz","KO",18,"Siedlce","mazowieckie","Mariusz.Popielarz@sejm.pl",true
483,"Magdalena",,"Roguska","Magdalena Roguska","KO",19,"Warszawa","mazowieckie","Magdalena.Roguska@sejm.pl",true
484,"Marta","Magdalena","Stożek","Marta Stożek","Razem",3,"Wrocław","dolnośląskie","Marta.Stozek@sejm.pl",true
485,"Krzysztof",,"Szymański","Krzysztof Szymański","Konfederacja",26,"Słupsk","pomorskie","Krzysztof.Szymanski@sejm.pl",true
486,"Włodzimierz",,"Tomaszewski","Włodzimierz Tomaszewski","PiS",9,"Łódź","łódzkie","Wlodzimierz.Tomaszewski@sejm.pl",true
487,"Maciej","Tadeusz","Tomczykiewicz","Maciej Tomczykiewicz","KO",27,"Bielsko-Biała","śląskie","Maciej.Tomczykiewicz@sejm.pl",true
488,"Jarosław","Karol","Krajewski","Jarosław Krajewski","PiS",19,"Warszawa","mazowieckie","Jaroslaw.Krajewski@sejm.pl",true
489,"Bożena","Grażyna","Lisowska","Bożena Lisowska","KO",6,"Lublin","lubelskie","Bozena.Lisowska@sejm.pl",true
490,"Michał",,"Połuboczek","Michał Połuboczek","Konfederacja",23,"Rzeszów","podkarpackie","Michal.Poluboczek@sejm.pl",true
491,"Aleksandra",,"Kot","Aleksandra Kot","KO",13,"Kraków","małopolskie","Aleksandra.Kot@sejm.pl",true
492,"Rafał",,"Romanowski","Rafał Romanowski","PiS",16,"Płock","mazowieckie","Rafal.Romanowski@sejm.pl",true
493,"Henryk","Józef","Smolarz","Henryk Smolarz","PSL-TD",6,"Lublin","lubelskie","Henryk.Smolarz@sejm.pl",true
494,"Robert","Aleksander","Jagła","Robert Jagła","KO",2,"Wałbrzych","dolnośląskie","Robert.Jagla@sejm.pl",true
495,"Michał",,"Jach","Michał Jach","PiS",41,"Szczecin","zachodniopomorskie","Michal.Jach@sejm.pl",true
496,"Bogumiła",,"Olbryś","Bogumiła Olbryś","PiS",24,"Białystok","podlaskie","Bogumila.Olbrys@sejm.pl",true
497,"Tomasz","Piotr","Rzymkowski","Tomasz Rzymkowski","niez.",11,"Sieradz","łódzkie","Tomasz.Rzymkowski@sejm.pl",true
498,"Marek","Andrzej","Subocz","Marek Subocz","PiS",40,"Koszalin","zachodniopomorskie","Marek.Subocz@sejm.pl",true
